지역,연도,배출원,PM10,PM2.5
세종특별자치시,2016,도로이동오염원,56286,51783
세종특별자치시,2016,비도로이동오염원,163161,150107
세종특별자치시,2016,폐기물처리,2573,2246
세종특별자치시,2016,기타 면오염원,1852,1667
세종특별자치시,2016,비산먼지,1102651,144465
세종특별자치시,2016,생물성 연소,80689,65293
세종특별자치시,2017,에너지산업 연소,19430,19430
세종특별자치시,2017,비산업 연소,3461,2544
세종특별자치시,2017,제조업 연소,2880,2302
세종특별자치시,2017,생산공정,541,487
세종특별자치시,2017,도로이동오염원,59409,54656
세종특별자치시,2017,비도로이동오염원,109102,100373
